,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
57,JUVENTUS,ROMA,03-Feb,02-Feb,9,6.1,5,44,56,9,5,20,6,5,18,85,13,13,14,4,0,1,4,2,8,2,5,12,84,5,23,15,3,0,1,3,2,2,3,2014
58,NAPOLI,TORINO,02-Jan,0-1,7.3,7.2,4.4,53,47,11,9,24,4,9,19,87,15,19,17,3,0,0,4,2,8,2,2,14,84,13,24,16,3,0,2,2,1,1,2,2014
59,FIORENTINA,INTER,3-0,2-0,5.5,7.6,5.2,46,54,5,8,15,2,2,20,83,15,35,12,2,0,0,8,4,14,2,5,27,80,13,12,17,3,0,0,3,0,0,3,2014
60,ROMA,CHIEVO,3-0,3-0,5.2,7.6,5.1,70,30,5,8,14,1,6,12,91,11,18,12,1,0,0,5,3,11,3,2,14,75,14,13,13,1,0,0,3,0,0,3,2014
61,SASSUOLO,JUVENTUS,01-Jan,01-Jan,4.7,6.1,6.3,35,65,3,2,7,2,2,22,64,12,28,14,2,0,0,10,6,19,3,6,31,82,15,11,15,2,0,1,1,1,1,1,2014
62,FIORENTINA,LAZIO,0-2,0-1,5,5.4,6.9,58,42,9,2,15,4,6,24,83,14,28,11,2,0,0,2,5,10,3,4,23,75,8,35,24,5,0,0,0,2,2,0,2014
63,ATALANTA,PARMA,1-0,0-0,3.3,6.7,5.3,58,42,11,3,17,3,3,23,83,9,12,11,2,0,0,3,1,6,2,1,20,73,7,29,18,3,0,0,1,0,0,1,2014
64,CAGLIARI,SAMPDORIA,02-Feb,0-2,7.6,6.1,5.9,59,41,5,4,13,4,8,24,83,7,11,19,3,0,0,4,8,13,1,0,20,76,10,43,15,6,1,0,2,2,2,2,2014
65,TORINO,UDINESE,1-0,0-0,4.5,6.7,6,47,53,10,5,23,8,8,9,84,15,34,16,3,0,0,7,3,11,1,5,13,84,22,43,8,2,0,0,1,0,0,1,2014
66,PALERMO,CESENA,02-Jan,1-0,6,7,5.4,55,45,9,4,13,0,12,20,83,21,21,16,5,0,0,1,2,4,1,3,22,77,14,35,16,4,1,0,2,1,1,2,2014
67,HELLAS,MILAN,01-Mar,0-2,7.5,5.4,7.3,52,48,9,7,21,5,8,21,82,13,19,10,3,1,0,5,5,12,2,5,11,81,12,35,15,1,0,0,1,3,3,1,2014
68,INTER,NAPOLI,02-Feb,0-0,8.9,6.7,6.4,57,43,11,5,22,6,6,17,85,23,22,8,2,0,0,6,5,13,2,4,22,77,17,20,12,3,0,0,2,2,2,2,2014
69,GENOA,EMPOLI,01-Jan,1-0,4.7,5.8,7,48,52,8,3,12,1,10,32,73,12,14,16,3,0,0,3,4,9,2,4,25,76,20,36,13,1,0,0,1,1,1,1,2014
70,EMPOLI,CAGLIARI,0-4,0-4,5.5,4.8,7.8,55,45,2,5,9,2,6,29,84,7,15,10,2,0,0,4,6,15,5,6,13,80,7,27,23,2,0,0,0,4,4,0,2014
71,PARMA,SASSUOLO,01-Mar,0-2,5.7,5.5,7.3,52,48,4,4,11,3,7,38,73,14,40,19,4,0,0,4,3,8,1,2,26,75,18,55,16,2,0,0,1,3,3,1,2014
72,SAMPDORIA,ROMA,0-0,0-0,3.2,6.1,6.9,35,65,5,2,12,5,6,15,76,4,37,14,2,0,0,6,4,20,10,14,16,86,13,21,12,3,0,0,0,0,0,0,2014
